miRNA	value
hsa-miR-6090	15711.08
hsa-miR-6089	8552.93
hsa-miR-4516	10206.61
hsa-miR-4459	5583.97
hsa-miR-4281	5460.95
hsa-miR-3960	5354.31
hsa-miR-6800-5p	1469.141
hsa-miR-6088	1922.786
hsa-miR-6869-5p	1435.904
hsa-miR-7107-5p	1858.513
hsa-miR-6087	2439.034
hsa-miR-4687-3p	3170.28
hsa-miR-6821-5p	989.782
hsa-miR-7150	1409.838
hsa-miR-7110-5p	610.194
hsa-miR-6125	1048.9
hsa-miR-1225-5p	1059.264
hsa-miR-3665	652.485
hsa-miR-8069	4583.39
hsa-miR-197-5p	1203.692
hsa-miR-642a-3p	422.06
hsa-miR-4763-3p	770.93
hsa-miR-6749-5p	822.195
hsa-miR-638	664.88
hsa-miR-2861	642.8
hsa-miR-4270	517.147
hsa-miR-6510-5p	417.283
hsa-miR-1207-5p	612.876
hsa-miR-6850-5p	476.445
hsa-miR-451a	15076.9
hsa-miR-3663-3p	304.872
hsa-miR-1202	511.254
hsa-miR-6891-5p	519.5435
hsa-miR-320c	538.355
hsa-miR-7847-3p	258.626
hsa-miR-574-5p	102.0234
hsa-miR-4466	364.786
hsa-miR-3656	418.345
hsa-miR-762	303.7884
hsa-miR-6124	288.5452
hsa-miR-6127	468.298
hsa-miR-6727-5p	186.9488
hsa-miR-1229-5p	323.616
hsa-miR-6740-5p	185.9021
hsa-miR-1915-3p	354.459
hsa-miR-1273g-3p	214.0861
hsa-miR-4669	154.562
hsa-miR-6769b-5p	200.5764
hsa-miR-6724-5p	169.7412
hsa-miR-4634	151.0915
hsa-miR-4298	85.2571
hsa-miR-6165	146.9754
hsa-miR-7641	252.6093
hsa-miR-4788	225.64
hsa-miR-1268a	156.9937
hsa-miR-5787	292.136
hsa-miR-642b-3p	104.5784
hsa-miR-1275	153.57891
hsa-miR-3679-5p	139.1646
hsa-miR-4442	151.128
hsa-miR-328-5p	213.0607
hsa-miR-4534	167.1379
hsa-miR-483-5p	80.5397
hsa-miR-4530	174.826
hsa-miR-150-3p	89.9841
hsa-miR-5739	109.7318
hsa-miR-320d	177.7525
hsa-miR-6752-5p	101.1696
hsa-miR-4327	89.8959
hsa-miR-4455	14.64478
hsa-miR-6831-5p	73.6991
hsa-miR-3610	22.9805
hsa-miR-3141	74.9174
hsa-miR-320e	142.7805
hsa-miR-4499	75.2347
hsa-miR-8063	88.8259
hsa-miR-7704	190.3945
hsa-miR-4532	52.93235
hsa-miR-4745-5p	41.43422
hsa-miR-718	50.1083
hsa-miR-3162-5p	105.8741
hsa-miR-6085	124.4773
hsa-miR-8072	62.16103
hsa-miR-7975	101.8147
hsa-miR-937-5p	79.62456
hsa-miR-4800-5p	77.5656
hsa-miR-4463	100.6505
hsa-miR-4443	332.9256
hsa-miR-6775-5p	100.5595
hsa-miR-3648	55.0117
hsa-miR-5585-3p	59.0384
hsa-miR-3940-5p	107.455
hsa-miR-3196	78.3597
hsa-miR-1246	94.7966
hsa-miR-6785-5p	131.1269
hsa-miR-6867-5p	59.2954
hsa-miR-7108-5p	82.4932
hsa-miR-4655-3p	56.8277
hsa-miR-4741	109.4823
hsa-miR-4739	134.3646
hsa-miR-2392	72.8378
hsa-miR-5195-3p	56.8443
hsa-miR-6879-5p	84.8959
hsa-miR-16-5p	2319.822
hsa-miR-4505	86.8028
hsa-miR-6812-5p	47.2163
hsa-miR-320b	161.3934
hsa-miR-595	2.79982
hsa-miR-6723-5p	47.0021
hsa-miR-134-5p	69.2443
hsa-miR-6728-5p	62.9137
hsa-miR-1268b	48.3113
hsa-miR-4701-3p	6.1945
hsa-miR-3195	63.4773
hsa-miR-4778-5p	32.8426
hsa-miR-6826-5p	33.7825
hsa-miR-630	53.3366
hsa-miR-4507	53.632
hsa-miR-223-3p	95.0309
hsa-miR-32-3p	4.70405
hsa-miR-1238-5p	3.37626
hsa-miR-486-5p	1444.705
hsa-miR-6763-5p	38.2652
hsa-miR-3148	1.584719
hsa-miR-4306	210.464
hsa-miR-6803-5p	58.0959
hsa-miR-3149	2.66567
hsa-miR-5100	167.3104
hsa-miR-4433a-3p	67.8924
hsa-miR-6722-3p	50.3409
hsa-miR-3135b	31.1558
hsa-miR-4793-3p	18.27554
hsa-miR-671-5p	22.6156
