miRNA	value
hsa-miR-6090	5747.29
hsa-miR-6089	2677.33
hsa-miR-4516	4165.47
hsa-miR-4459	1851.024
hsa-miR-4281	1817.981
hsa-miR-3960	1592.681
hsa-miR-6800-5p	397.575
hsa-miR-6088	618.954
hsa-miR-6869-5p	453.8345
hsa-miR-7107-5p	541.054
hsa-miR-6087	647.983
hsa-miR-4687-3p	535.985
hsa-miR-6821-5p	347.394
hsa-miR-7150	360.348
hsa-miR-7110-5p	233.132
hsa-miR-6125	249.3705
hsa-miR-1225-5p	237.858
hsa-miR-3665	207.4604
hsa-miR-8069	1732.081
hsa-miR-197-5p	663.606
hsa-miR-642a-3p	121.4409
hsa-miR-4763-3p	163.3103
hsa-miR-6749-5p	142.5362
hsa-miR-638	186.2379
hsa-miR-2861	155.1477
hsa-miR-4270	129.1616
hsa-miR-6510-5p	189.1066
hsa-miR-1207-5p	159.7563
hsa-miR-6850-5p	166.8074
hsa-miR-451a	1122.315
hsa-miR-3663-3p	171.2384
hsa-miR-1202	92.5944
hsa-miR-6891-5p	161.5002
hsa-miR-320c	138.2217
hsa-miR-7847-3p	109.9079
hsa-miR-574-5p	113.5911
hsa-miR-4466	128.0309
hsa-miR-3656	135.7738
hsa-miR-762	96.6402
hsa-miR-6124	89.4171
hsa-miR-6127	208.296
hsa-miR-6727-5p	65.8385
hsa-miR-1229-5p	107.827
hsa-miR-6740-5p	77.1425
hsa-miR-1915-3p	89.0404
hsa-miR-1273g-3p	97.02281
hsa-miR-4669	63.79
hsa-miR-6769b-5p	64.377
hsa-miR-6724-5p	58.2837
hsa-miR-4634	55.5669
hsa-miR-4298	54.9756
hsa-miR-6165	49.8992
hsa-miR-7641	17.31592
hsa-miR-4788	96.9248
hsa-miR-1268a	49.7089
hsa-miR-5787	31.6428
hsa-miR-642b-3p	34.5707
hsa-miR-1275	48.01717
hsa-miR-3679-5p	46.5127
hsa-miR-4442	59.1402
hsa-miR-328-5p	39.43398
hsa-miR-4534	45.214
hsa-miR-483-5p	44.3045
hsa-miR-4530	35.7686
hsa-miR-150-3p	22.59948
hsa-miR-5739	28.3535
hsa-miR-320d	36.91325
hsa-miR-6752-5p	28.9069
hsa-miR-4327	20.40941
hsa-miR-4455	52.4133
hsa-miR-6831-5p	34.9692
hsa-miR-3610	11.46026
hsa-miR-3141	33.7268
hsa-miR-320e	30.58055
hsa-miR-4499	30.0162
hsa-miR-8063	34.2204
hsa-miR-7704	46.76668
hsa-miR-4532	37.29657
hsa-miR-4745-5p	13.37248
hsa-miR-718	18.8621
hsa-miR-3162-5p	28.6545
hsa-miR-6085	20.68263
hsa-miR-8072	22.29664
hsa-miR-7975	31.89328
hsa-miR-937-5p	19.18748
hsa-miR-4800-5p	39.5284
hsa-miR-4463	26.912
hsa-miR-4443	41.48344
hsa-miR-6775-5p	26.54001
hsa-miR-3648	15.40497
hsa-miR-5585-3p	22.09109
hsa-miR-3940-5p	24.3424
hsa-miR-3196	20.958
hsa-miR-1246	49.16177
hsa-miR-6785-5p	18.38278
hsa-miR-6867-5p	26.3212
hsa-miR-7108-5p	32.6264
hsa-miR-4655-3p	23.8374
hsa-miR-4741	18.03885
hsa-miR-4739	22.69495
hsa-miR-2392	26.85238
hsa-miR-5195-3p	16.92044
hsa-miR-6879-5p	24.7916
hsa-miR-16-5p	232.0184
hsa-miR-4505	18.23099
hsa-miR-6812-5p	20.46695
hsa-miR-320b	21.29268
hsa-miR-595	20.86202
hsa-miR-6723-5p	17.37838
hsa-miR-134-5p	18.99922
hsa-miR-6728-5p	18.96047
hsa-miR-1268b	19.92671
hsa-miR-4701-3p	20.27323
hsa-miR-3195	19.54706
hsa-miR-4778-5p	17.21229
hsa-miR-6826-5p	11.40397
hsa-miR-630	18.75127
hsa-miR-4507	15.29756
hsa-miR-223-3p	64.4952
hsa-miR-32-3p	23.02936
hsa-miR-1238-5p	16.59963
hsa-miR-486-5p	92.9213
hsa-miR-6763-5p	13.14261
hsa-miR-3148	16.08677
hsa-miR-4306	53.6965
hsa-miR-6803-5p	17.55299
hsa-miR-3149	20.8809
hsa-miR-5100	19.45832
hsa-miR-4433a-3p	19.00478
hsa-miR-6722-3p	25.85327
hsa-miR-3135b	14.37145
hsa-miR-4793-3p	6.48329
hsa-miR-671-5p	7.51199
hsa-miR-5703	13.02787
hsa-miR-320a	12.98307
hsa-miR-4689	9.40102
hsa-miR-1185-1-3p	8.56491
hsa-miR-4767	10.34943
hsa-miR-188-5p	10.81855
hsa-miR-6808-5p	5.78667
hsa-miR-4271	9.898
hsa-miR-2278	13.2503
hsa-let-7b-5p	20.03633
hsa-miR-7106-5p	10.1534
hsa-miR-3138	6.451
hsa-miR-6076	10.99889
hsa-miR-4440	5.61176
hsa-miR-6794-5p	12.38443
hsa-miR-6786-5p	8.72988
hsa-miR-1914-3p	13.24781
hsa-miR-765	13.9758
hsa-miR-3911	8.18858
hsa-miR-1183	11.41055
hsa-miR-6791-5p	14.45861
hsa-miR-6829-5p	9.47829
hsa-miR-6756-5p	9.32711
hsa-miR-1281	8.11979
hsa-miR-557	6.71153
hsa-miR-5006-5p	6.6785
hsa-miR-1228-5p	10.84704
hsa-miR-6833-5p	8.27848
hsa-miR-4481	7.27744
hsa-miR-1180-3p	8.55813
hsa-miR-21-5p	18.38405
hsa-miR-6126	5.99739
hsa-miR-6893-5p	4.89542
hsa-miR-670-5p	9.40712
hsa-miR-7844-5p	9.16196
hsa-miR-6789-5p	11.12836
hsa-miR-1249-5p	7.84465
hsa-miR-4769-3p	5.93303
hsa-miR-6865-5p	6.91805
hsa-miR-135a-3p	5.46837
hsa-miR-6068	17.97835
hsa-miR-1825	5.79812
hsa-miR-7850-5p	5.33779
hsa-miR-7845-5p	7.05436
hsa-miR-7977	7.5344
hsa-miR-940	7.12546
hsa-miR-3156-5p	17.98492
hsa-miR-1587	7.40997
hsa-miR-6133	7.51573
hsa-miR-4665-3p	6.86768
hsa-miR-1249-3p	5.76287
hsa-miR-6849-5p	8.35115
hsa-miR-1185-2-3p	5.54075
hsa-miR-4787-5p	12.94965
hsa-miR-7855-5p	11.18609
hsa-miR-3064-5p	5.99651
hsa-miR-19b-3p	47.61131
hsa-miR-6802-5p	6.47008
hsa-miR-6806-5p	5.92642
hsa-miR-22-3p	44.17792
hsa-miR-1228-3p	4.58872
hsa-miR-6797-3p	5.18505
hsa-miR-6768-5p	3.22856
hsa-miR-6883-5p	6.71474
hsa-miR-187-5p	5.237371
hsa-miR-1306-3p	6.22785
hsa-miR-6751-5p	3.71301
hsa-miR-575	5.75653
hsa-miR-1273f	7.22549
hsa-miR-6086	7.11463
hsa-miR-206	5.80268
hsa-miR-4632-5p	6.01928
hsa-miR-3937	6.46664
hsa-miR-1343-5p	4.90238
hsa-miR-483-3p	2.52354
hsa-miR-3162-3p	4.27782
hsa-miR-6858-5p	2.50459
hsa-miR-939-5p	9.00778
hsa-miR-4313	1.66438
hsa-miR-3194-5p	5.87101
hsa-miR-1471	4.13881
hsa-miR-3188	6.6239
hsa-miR-1234-3p	3.84048
hsa-miR-1224-5p	4.39429
hsa-miR-6069	3.81414
hsa-miR-6856-5p	4.88305
hsa-miR-130a-3p	14.82012
hsa-miR-5196-5p	6.25686
hsa-miR-7154-5p	2.51383
hsa-miR-3907	1.902118
hsa-miR-652-5p	3.74036
hsa-miR-4649-3p	3.12915
hsa-miR-4433b-3p	6.51006
hsa-miR-92a-3p	30.46821
hsa-miR-6860	4.14658
hsa-miR-6515-3p	3.74904
hsa-miR-6737-3p	3.43648
hsa-miR-6819-5p	2.49492
hsa-miR-6799-5p	2.83004
hsa-miR-4651	4.15496
hsa-miR-6819-3p	3.73615
hsa-miR-3945	4.77625
hsa-miR-4785	1.95338
hsa-miR-127-3p	2.3258
hsa-miR-1290	6.99452
hsa-miR-5001-5p	14.13852
hsa-miR-7111-3p	2.288745
hsa-miR-4787-3p	4.28858
hsa-miR-6794-3p	1.49597
hsa-miR-539-5p	2.14609
hsa-miR-2276-3p	3.58201
hsa-miR-34a-5p	2.42572
hsa-miR-6787-5p	1.560876
hsa-miR-4429	2.59084
hsa-miR-3158-5p	1.9339
hsa-miR-1304-3p	2.11756
hsa-miR-4515	3.26202
hsa-miR-4419a	3.23884
hsa-miR-6796-5p	2.33112
hsa-miR-766-5p	2.58336
hsa-miR-107	18.15931
hsa-miR-371b-5p	6.44808
hsa-miR-6777-3p	1.967836
hsa-miR-6757-5p	2.72435
hsa-miR-1238-3p	1.744451
hsa-miR-20a-5p	22.70032
hsa-miR-572	7.66991
hsa-miR-6840-3p	3.84678
hsa-miR-324-3p	2.82636
hsa-miR-6508-5p	2.73349
hsa-miR-8071	4.49345
hsa-miR-198	2.90867
hsa-miR-6784-5p	3.63408
hsa-miR-328-3p	1.543572
hsa-miR-4456	1.431329
hsa-miR-365a-3p	2.003085
hsa-miR-514b-5p	4.83332
hsa-miR-4721	3.58932
hsa-miR-191-3p	0.771803
hsa-miR-6759-3p	1.972634
hsa-miR-6779-5p	1.5064
hsa-miR-4646-5p	1.761729
hsa-miR-4483	2.193732
hsa-miR-6813-3p	1.59817
hsa-miR-425-3p	1.844362
hsa-miR-6732-5p	1.501239
hsa-miR-1236-5p	3.3796
hsa-miR-548q	1.616665
hsa-miR-3652	2.53205
hsa-miR-4436b-5p	1.51525
hsa-let-7f-1-3p	1.692203
hsa-miR-4290	1.7956
hsa-miR-4476	2.27282
hsa-miR-4725-5p	1.823456
hsa-miR-6763-3p	2.080653
hsa-miR-3689b-3p	2.087116
hsa-miR-33b-3p	1.921862
hsa-miR-6865-3p	1.232017
hsa-miR-6884-3p	1.777552
hsa-miR-6858-3p	1.670078
hsa-miR-15b-5p	21.21645
hsa-miR-6861-5p	2.79234
hsa-miR-4673	1.57702
hsa-miR-6760-3p	1.41976
hsa-miR-1237-3p	1.385465
hsa-miR-7114-5p	1.64176
hsa-let-7i-5p	13.89415
hsa-miR-1908-3p	4.42845
hsa-miR-4698	1.944725
hsa-miR-4322	3.49659
hsa-miR-5196-3p	1.24876
hsa-miR-4433a-5p	1.51254
hsa-miR-3620-3p	2.32253
hsa-miR-149-5p	1.251398
hsa-miR-4644	3.15279
hsa-miR-6861-3p	1.78597
hsa-let-7b-3p	1.743199
hsa-miR-197-3p	3.71671
hsa-miR-6875-5p	1.881547
hsa-miR-6847-5p	1.5698
hsa-miR-23a-3p	10.26847
