miRNA	value
hsa-miR-6090	6916.16
hsa-miR-6089	4084.11
hsa-miR-4516	4031.22
hsa-miR-4459	2471.78
hsa-miR-4281	1850.073
hsa-miR-3960	1800.025
hsa-miR-6800-5p	622.052
hsa-miR-6088	608.414
hsa-miR-6869-5p	541.636
hsa-miR-7107-5p	503.454
hsa-miR-6087	481.654
hsa-miR-4687-3p	384.539
hsa-miR-6821-5p	352.954
hsa-miR-7150	333.147
hsa-miR-7110-5p	312.636
hsa-miR-6125	306.1258
hsa-miR-1225-5p	305.784
hsa-miR-3665	297.559
hsa-miR-8069	292.275
hsa-miR-197-5p	236.296
hsa-miR-642a-3p	229.3167
hsa-miR-4763-3p	209.057
hsa-miR-6749-5p	206.128
hsa-miR-638	200.5296
hsa-miR-2861	193.957
hsa-miR-4270	180.6191
hsa-miR-6510-5p	170.9447
hsa-miR-1207-5p	165.6466
hsa-miR-6850-5p	155.6241
hsa-miR-451a	153.8017
hsa-miR-3663-3p	143.6463
hsa-miR-1202	136.2895
hsa-miR-6891-5p	131.1637
hsa-miR-320c	124.9121
hsa-miR-7847-3p	122.4046
hsa-miR-574-5p	115.6371
hsa-miR-4466	115.2655
hsa-miR-3656	111.8441
hsa-miR-762	105.629
hsa-miR-6124	96.6483
hsa-miR-6127	96.5382
hsa-miR-6727-5p	92.4794
hsa-miR-1229-5p	88.2046
hsa-miR-6740-5p	81.8986
hsa-miR-1915-3p	75.1684
hsa-miR-1273g-3p	63.79308
hsa-miR-4669	63.4371
hsa-miR-6769b-5p	60.8743
hsa-miR-6724-5p	60.0947
hsa-miR-4634	55.8394
hsa-miR-4298	49.6914
hsa-miR-6165	48.969
hsa-miR-7641	48.35479
hsa-miR-4788	48.0852
hsa-miR-1268a	47.6255
hsa-miR-5787	47.0145
hsa-miR-642b-3p	46.2901
hsa-miR-1275	44.3327
hsa-miR-3679-5p	44.149
hsa-miR-4442	43.7711
hsa-miR-328-5p	42.63179
hsa-miR-4534	42.2969
hsa-miR-483-5p	40.9023
hsa-miR-4530	39.5578
hsa-miR-150-3p	38.98637
