miRNA	value
hsa-miR-6090	26341.5
hsa-miR-6089	14939.98
hsa-miR-4516	11360.82
hsa-miR-4459	16095.95
hsa-miR-4281	9385.78
hsa-miR-3960	10401.96
hsa-miR-6800-5p	2383.65
hsa-miR-6088	4284.17
hsa-miR-6869-5p	2573.875
hsa-miR-7107-5p	1937.408
hsa-miR-6087	6082.8
hsa-miR-4687-3p	6611.94
hsa-miR-6821-5p	1981.095
hsa-miR-7150	2015.22
hsa-miR-7110-5p	540.948
hsa-miR-6125	1979.39
hsa-miR-1225-5p	2243.46
hsa-miR-3665	1313.25
hsa-miR-8069	2999.14
hsa-miR-197-5p	3106.46
hsa-miR-642a-3p	664.996
hsa-miR-4763-3p	1441.423
hsa-miR-6749-5p	1639.553
hsa-miR-638	1375.387
hsa-miR-2861	1099.761
hsa-miR-4270	928.199
hsa-miR-6510-5p	260.992
hsa-miR-1207-5p	1142.312
hsa-miR-6850-5p	911.503
hsa-miR-451a	5420.59
hsa-miR-3663-3p	442.402
hsa-miR-1202	1112.022
hsa-miR-6891-5p	854.628
hsa-miR-320c	876.584
hsa-miR-7847-3p	326.996
hsa-miR-574-5p	384.129
hsa-miR-4466	809.224
hsa-miR-3656	913.872
hsa-miR-762	508.9971
hsa-miR-6124	328.206
hsa-miR-6127	1103.966
hsa-miR-6727-5p	389.151
hsa-miR-1229-5p	538.02
hsa-miR-6740-5p	122.5351
hsa-miR-1915-3p	836.964
hsa-miR-1273g-3p	197.9619
hsa-miR-4669	250.286
hsa-miR-6769b-5p	182.299
hsa-miR-6724-5p	350.884
hsa-miR-4634	263.819
hsa-miR-4298	80.8929
hsa-miR-6165	225.391
hsa-miR-7641	49.5436
hsa-miR-4788	552.757
hsa-miR-1268a	331.769
hsa-miR-5787	400.838
hsa-miR-642b-3p	122.8406
hsa-miR-1275	232.6492
hsa-miR-3679-5p	95.2678
hsa-miR-4442	235.508
hsa-miR-328-5p	361.482
hsa-miR-4534	196.5219
hsa-miR-483-5p	93.3333
hsa-miR-4530	437.962
hsa-miR-150-3p	110.0041
hsa-miR-5739	175.0222
hsa-miR-320d	372.9184
hsa-miR-6752-5p	211.3801
hsa-miR-4327	149.3186
hsa-miR-4455	255.843
hsa-miR-6831-5p	66.7821
hsa-miR-3610	38.9392
hsa-miR-3141	90.9769
hsa-miR-320e	281.1606
hsa-miR-4499	71.1662
hsa-miR-8063	116.7847
hsa-miR-7704	474.0602
hsa-miR-4532	87.218
hsa-miR-4745-5p	65.0654
hsa-miR-718	82.19205
hsa-miR-3162-5p	172.438
hsa-miR-6085	252.769
hsa-miR-8072	179.5542
hsa-miR-7975	134.6242
hsa-miR-937-5p	135.6416
hsa-miR-4800-5p	43.8658
hsa-miR-4463	177.9405
hsa-miR-4443	319.0084
hsa-miR-6775-5p	139.4043
hsa-miR-3648	59.558
hsa-miR-5585-3p	28.0354
hsa-miR-3940-5p	226.28963
hsa-miR-3196	155.1053
hsa-miR-1246	95.66612
hsa-miR-6785-5p	99.862
hsa-miR-6867-5p	46.7833
hsa-miR-7108-5p	173.3205
hsa-miR-4655-3p	95.2772
hsa-miR-4741	224.9119
hsa-miR-4739	264.3387
hsa-miR-2392	154.9518
hsa-miR-5195-3p	126.5096
hsa-miR-6879-5p	128.3566
hsa-miR-16-5p	800.095
hsa-miR-4505	141.0129
hsa-miR-6812-5p	53.0435
hsa-miR-320b	408.8578
hsa-miR-595	106.7471
hsa-miR-6723-5p	58.6164
hsa-miR-134-5p	121.9441
hsa-miR-6728-5p	114.2236
hsa-miR-1268b	152.5098
hsa-miR-4701-3p	107.7118
hsa-miR-3195	159.0246
hsa-miR-4778-5p	20.22864
hsa-miR-6826-5p	43.7043
hsa-miR-630	88.4899
hsa-miR-4507	110.9148
hsa-miR-223-3p	16.95396
hsa-miR-32-3p	114.6759
hsa-miR-1238-5p	84.3078
hsa-miR-486-5p	3249.63
hsa-miR-6763-5p	76.9438
hsa-miR-3148	88.7341
hsa-miR-4306	106.5261
hsa-miR-6803-5p	119.2189
hsa-miR-3149	105.1868
hsa-miR-5100	268.9249
hsa-miR-4433a-3p	169.8359
hsa-miR-6722-3p	136.0275
hsa-miR-3135b	30.7966
hsa-miR-4793-3p	53.764
hsa-miR-671-5p	35.7438
hsa-miR-5703	63.7747
hsa-miR-320a	204.6849
hsa-miR-4689	91.2666
hsa-miR-1185-1-3p	55.5143
hsa-miR-4767	18.08986
hsa-miR-188-5p	99.0024
hsa-miR-6808-5p	24.935
hsa-miR-4271	55.8419
hsa-miR-2278	78.076
hsa-let-7b-5p	136.7761
hsa-miR-7106-5p	59.81368
hsa-miR-3138	17.30243
hsa-miR-6076	27.8797
hsa-miR-4440	42.833
hsa-miR-6794-5p	149.6483
hsa-miR-6786-5p	103.3928
hsa-miR-1914-3p	89.3573
hsa-miR-765	14.16966
hsa-miR-3911	39.3179
hsa-miR-1183	44.1586
hsa-miR-6791-5p	121.6791
hsa-miR-6829-5p	29.5858
hsa-miR-6756-5p	68.9089
hsa-miR-1281	28.1104
hsa-miR-557	51.9415
hsa-miR-5006-5p	54.7362
hsa-miR-1228-5p	60.5345
hsa-miR-6833-5p	20.06909
