miRNA	value
hsa-miR-6090	7088.43
hsa-miR-6089	3691.77
hsa-miR-4516	4061.88
hsa-miR-4459	2663.09
hsa-miR-4281	2133.12
hsa-miR-3960	1904.542
hsa-miR-6800-5p	629.624
hsa-miR-6088	662.54
hsa-miR-6869-5p	579.123
hsa-miR-7107-5p	770.669
hsa-miR-6087	761.509
hsa-miR-4687-3p	796.6
hsa-miR-6821-5p	394.17
hsa-miR-7150	398.794
hsa-miR-7110-5p	291.101
hsa-miR-6125	365.851
hsa-miR-1225-5p	304.437
hsa-miR-3665	319.138
hsa-miR-8069	503.453
hsa-miR-197-5p	368.969
hsa-miR-642a-3p	230.2551
hsa-miR-4763-3p	206.949
hsa-miR-6749-5p	211.702
hsa-miR-638	293.4999
hsa-miR-2861	264.9256
hsa-miR-4270	179.8498
hsa-miR-6510-5p	171.8223
hsa-miR-1207-5p	206.8452
hsa-miR-6850-5p	164.1545
hsa-miR-451a	231.0021
hsa-miR-3663-3p	188.3162
hsa-miR-1202	153.2138
hsa-miR-6891-5p	175.4029
hsa-miR-320c	125.9491
hsa-miR-7847-3p	147.0421
hsa-miR-574-5p	93.2073
hsa-miR-4466	124.1237
hsa-miR-3656	154.3508
hsa-miR-762	121.5774
hsa-miR-6124	117.8988
hsa-miR-6127	139.2256
hsa-miR-6727-5p	62.9149
hsa-miR-1229-5p	100.8337
hsa-miR-6740-5p	80.7722
hsa-miR-1915-3p	114.2825
hsa-miR-1273g-3p	80.88233
hsa-miR-4669	71.4747
hsa-miR-6769b-5p	88.1289
hsa-miR-6724-5p	58.8314
hsa-miR-4634	63.9081
hsa-miR-4298	62.5202
hsa-miR-6165	63.6449
hsa-miR-7641	48.47832
hsa-miR-4788	65.0495
hsa-miR-1268a	54.1017
hsa-miR-5787	49.859
hsa-miR-642b-3p	47.114
hsa-miR-1275	51.09986
hsa-miR-3679-5p	60.5622
hsa-miR-4442	58.7825
hsa-miR-328-5p	71.4575
hsa-miR-4534	55.544
hsa-miR-483-5p	45.0736
hsa-miR-4530	59.9628
hsa-miR-150-3p	42.74803
hsa-miR-5739	47.3566
hsa-miR-320d	13.00271
hsa-miR-6752-5p	37.6009
hsa-miR-4327	41.6602
hsa-miR-4455	40.0108
hsa-miR-6831-5p	34.9862
hsa-miR-3610	26.3975
hsa-miR-3141	38.1607
hsa-miR-320e	9.39627
hsa-miR-4499	40.7345
hsa-miR-8063	28.093
hsa-miR-7704	62.16481
hsa-miR-4532	32.34762
hsa-miR-4745-5p	29.86703
hsa-miR-718	24.45695
hsa-miR-3162-5p	39.611
hsa-miR-6085	29.528
hsa-miR-8072	25.62454
hsa-miR-7975	51.20858
hsa-miR-937-5p	26.08788
hsa-miR-4800-5p	33.258
hsa-miR-4463	29.706
hsa-miR-4443	131.8582
hsa-miR-6775-5p	32.73488
hsa-miR-3648	21.0721
hsa-miR-5585-3p	26.0751
hsa-miR-3940-5p	28.6156
hsa-miR-3196	26.5488
hsa-miR-1246	26.6391
hsa-miR-6785-5p	14.17896
hsa-miR-6867-5p	27.7752
hsa-miR-7108-5p	25.40484
hsa-miR-4655-3p	25.7661
hsa-miR-4741	24.86084
hsa-miR-4739	33.7157
hsa-miR-2392	24.35831
hsa-miR-5195-3p	17.37111
hsa-miR-6879-5p	23.09776
hsa-miR-16-5p	37.52918
hsa-miR-4505	29.99473
