miRNA	value
hsa-miR-6090	221.845
hsa-miR-6089	645.887
hsa-miR-4516	295.7255
hsa-miR-4459	75.0446
hsa-miR-4281	391.078
hsa-miR-3960	153.9615
hsa-miR-6800-5p	125.7487
hsa-miR-6088	52.4929
hsa-miR-6869-5p	130.2464
hsa-miR-7107-5p	134.1466
hsa-miR-6087	103.8351
hsa-miR-4687-3p	84.8212
hsa-miR-6821-5p	58.5723
hsa-miR-7150	28.4901
hsa-miR-7110-5p	96.3924
hsa-miR-6125	128.5258
hsa-miR-1225-5p	22.0855
hsa-miR-3665	130.488
hsa-miR-8069	157.1874
hsa-miR-197-5p	360.005
hsa-miR-642a-3p	12.18868
hsa-miR-4763-3p	12.27639
hsa-miR-6749-5p	13.00862
hsa-miR-638	65.1437
hsa-miR-2861	63.0667
hsa-miR-4270	10.80805
hsa-miR-6510-5p	110.8728
hsa-miR-1207-5p	25.6189
hsa-miR-6850-5p	24.3379
hsa-miR-451a	377.827
hsa-miR-3663-3p	82.3742
hsa-miR-1202	16.10218
hsa-miR-6891-5p	16.36178
hsa-miR-320c	25.73555
hsa-miR-7847-3p	27.1603
hsa-miR-574-5p	57.0631
hsa-miR-4466	30.04205
hsa-miR-3656	28.2341
hsa-miR-762	4.94973
hsa-miR-6124	17.0329
hsa-miR-6127	117.2808
hsa-miR-6727-5p	1.912344
hsa-miR-1229-5p	13.57189
hsa-miR-6740-5p	32.7106
hsa-miR-1915-3p	30.888
hsa-miR-1273g-3p	37.19683
hsa-miR-4669	11.57198
hsa-miR-6769b-5p	13.43841
hsa-miR-6724-5p	20.61232
hsa-miR-4634	11.92007
hsa-miR-4298	13.88633
hsa-miR-6165	12.56716
hsa-miR-7641	7.31006
hsa-miR-4788	48.5013
hsa-miR-1268a	9.33093
hsa-miR-5787	6.43102
hsa-miR-642b-3p	10.35682
hsa-miR-1275	4.0112
hsa-miR-3679-5p	10.52941
hsa-miR-4442	20.81759
hsa-miR-328-5p	3.63036
hsa-miR-4534	5.41798
hsa-miR-483-5p	11.14627
hsa-miR-4530	9.90843
hsa-miR-150-3p	1.123291
hsa-miR-5739	7.3478
hsa-miR-320d	25.78374
hsa-miR-6752-5p	1.67658
hsa-miR-4327	1.122729
hsa-miR-4455	24.4717
hsa-miR-6831-5p	9.56745
hsa-miR-3610	-0.1351603
hsa-miR-3141	8.91041
hsa-miR-320e	23.16288
hsa-miR-4499	6.99849
hsa-miR-8063	4.25899
hsa-miR-7704	37.75715
hsa-miR-4532	24.82348
hsa-miR-4745-5p	2.018949
hsa-miR-718	-0.030246
hsa-miR-3162-5p	11.91469
hsa-miR-6085	5.11483
hsa-miR-8072	1.506881
hsa-miR-7975	80.8132
hsa-miR-937-5p	5.0483
hsa-miR-4800-5p	10.50968
hsa-miR-4463	3.32934
hsa-miR-4443	5.20768
hsa-miR-6775-5p	6.50935
hsa-miR-3648	0.41965792
hsa-miR-5585-3p	8.49234
hsa-miR-3940-5p	6.79596
hsa-miR-3196	1.993044
hsa-miR-1246	24.4234
hsa-miR-6785-5p	7.13452
hsa-miR-6867-5p	8.31561
hsa-miR-7108-5p	7.72749
hsa-miR-4655-3p	-0.372365
hsa-miR-4741	2.585
hsa-miR-4739	4.18535
hsa-miR-2392	1.70372
hsa-miR-5195-3p	1.602937
hsa-miR-6879-5p	15.91014
hsa-miR-16-5p	52.21792
hsa-miR-4505	7.74328
hsa-miR-6812-5p	5.02789
hsa-miR-320b	14.39401
hsa-miR-595	9.38242
hsa-miR-6723-5p	0.744455
hsa-miR-134-5p	3.8901
hsa-miR-6728-5p	4.14209
hsa-miR-1268b	8.23823
hsa-miR-4701-3p	8.83403
hsa-miR-3195	1.65412
